state,locality,postcode_range,situation,range_type,page,fetched_from,fetched_date,url_fetched_from
AL,Olho D'Água Grande,57390-000 a 57399-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Olho D'Água das Flores,57442-000 a 57444-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Olho D'Água do Casado,57470-000 a 57474-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Olivença,57550-000 a 57559-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Ouro Branco,57525-000 a 57529-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Palestina,57410-000 a 57419-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Palmeira dos Índios,57600-001 a 57614-999,Codificado por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Palmeira dos Índios,57600-001 a 57609-999,Codificada por logradouros,Exclusiva da sede urbana,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Pariconha,57475-000 a 57479-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Paripueira,57935-000 a 57939-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Passo de Camaragibe,57930-000 a 57934-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Paulo Jacinto,57740-000 a 57749-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Penedo,57200-000 a 57209-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Piaçabuçu,57210-000 a 57219-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Pilar,57150-000 a 57159-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Pindoba,57720-000 a 57729-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Piranhas,57460-000 a 57469-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Porto Calvo,57900-000 a 57909-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Porto Real do Colégio,57290-000 a 57299-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Porto de Pedras,57945-000 a 57949-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Poço das Trincheiras,57510-000 a 57514-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Pão de Açúcar,57400-000 a 57409-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Quebrangulo,57750-000 a 57759-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Rio Largo,57100-000 a 57119-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
AL,Roteiro,57257-000 a 57259-999,Não codificada por logradouros,Total do município,51 a 100 de 106,Busca Faixa CEP ou UF/Localidade,2022-02-13,https://buscacepinter.correios.com.br/app/faixa_cep_uf_localidade/index.php
